,Telemetry,Max Channel,ID_Number,Lat,Long,V (km/h),Date,Timestep,Tension_1,Tension_2
0,60040,CANALE1,357164042518400,59.374610900878906,17.997830936431885,0.0,20210304,41113,11200,4736
1,60040,CANALE1,357164042518400,59.374610900878906,17.997852266311646,0.0,20210304,41113,-11265,511
2,60040,CANALE1,357164042518400,59.37461082839966,17.997877170562745,0.0,20210304,41114,12464,2303
3,60040,CANALE1,357164042518400,59.374609977722166,17.99790013885498,0.0,20210304,41114,-11265,511
4,60040,CANALE1,357164042518400,59.37460906600952,17.997924755096435,0.0,20210304,41114,11644,1464
5,60040,CANALE1,357164042518400,59.37460819625854,17.997948238372803,0.0,20210304,41114,-12183,-129
6,60040,CANALE1,357164042518400,59.3746064491272,17.997996366500853,0.0,20210304,41115,-12864,96
7,60040,CANALE1,357164042518400,59.374605613708496,17.99802017593384,0.0,20210304,41115,12976,-1776
8,60040,CANALE1,357164042518400,59.37460469055176,17.99804648590088,0.0,20210304,41115,-11104,1056
9,60040,CANALE1,357164042518400,59.37460461425781,17.99804866027832,0.0,20210304,41115,-11192,-2240
10,60040,CANALE1,357164042518400,59.374603786468505,17.99807225227356,0.0,20210304,41115,13024,1664
11,60040,CANALE1,357164042518400,59.37460369110107,17.998074970245362,0.0,20210304,41115,11808,5792
12,60040,CANALE1,357164042518400,59.37460232257367,17.998095785821235,0.0,20210304,41116,-11067,1248
13,60040,CANALE1,357164042518400,59.37429613113403,18.000249801635743,0.0,20210304,41136,-11696,-364
14,60040,CANALE1,357164042518400,59.37429216384888,18.000272018432618,0.0,20210304,41136,11904,160
15,60040,CANALE1,357164042518400,59.37428819656372,18.000294235229493,0.0,20210304,41136,-11521,2431
16,60040,CANALE1,357164042518400,59.374284496307375,18.00031495666504,0.0,20210304,41136,11456,-5200
17,60040,CANALE1,357164042518400,59.37428411483765,18.000317092895507,0.0,20210304,41136,11952,-1800
18,60040,CANALE1,357164042518400,59.37427917480469,18.000341644287108,0.0,20210304,41137,-12208,992
19,60040,CANALE1,357164042518400,59.37427429962158,18.00036480140686,0.0,20210304,41137,11775,-520
20,60040,CANALE1,357164042518400,59.37426912689209,18.000389371871947,0.0,20210304,41137,-11536,-104
21,60040,CANALE1,357164042518400,59.3742643661499,18.00041198539734,0.0,20210304,41137,11328,-480
22,60040,CANALE1,357164042518400,59.374259815216064,18.000433729171753,0.0,20210304,41138,-11072,4656
23,60040,CANALE1,357164042518400,59.37425939559937,18.00043612098694,0.0,20210304,41138,-11456,800
24,60040,CANALE1,357164042518400,59.37425514221192,18.00046036529541,0.0,20210304,41138,11711,767
25,60040,CANALE1,357164042518400,59.37425088882446,18.00048460960388,0.0,20210304,41138,-11408,-1600
26,60040,CANALE1,357164042518400,59.374247016906736,18.00050667953491,0.0,20210304,41138,12192,224
27,60040,CANALE1,357164042518400,59.37424272537231,18.00053114128113,0.0,20210304,41138,-12304,336
28,60040,CANALE1,357164042518400,59.37423815155029,18.00055439758301,0.0,20210304,41139,11920,96
29,60040,CANALE1,357164042518400,59.374198180850186,18.000740927516823,0.0,20210304,41140,11376,128
30,60040,CANALE1,357164042518400,59.37415162658692,18.000924407958983,0.0,20210304,41142,11632,767
31,60040,CANALE1,357164042518400,59.37414561843872,18.00094672393799,0.0,20210304,41142,-12352,-480
32,60040,CANALE1,357164042518400,59.37414006423951,18.000967470169066,0.0,20210304,41143,13296,-608
33,60040,CANALE1,357164042518400,59.37413408279419,18.000990114212037,0.0,20210304,41143,-13118,1144
34,60040,CANALE1,357164042518400,59.37412823486328,18.001012252807616,0.0,20210304,41143,13392,-360
35,60040,CANALE1,357164042518400,59.37412139892578,18.001038131713866,0.0,20210304,41143,-12936,-5656
36,60040,CANALE1,357164042518400,59.37411611175537,18.00105814743042,0.0,20210304,41143,12768,1963
37,60040,CANALE1,357164042518400,59.37411018371582,18.00108024597168,0.0,20210304,41144,-12116,-876
38,60040,CANALE1,357164042518400,59.37410452270508,18.001101272583007,0.0,20210304,41144,11920,400
39,60040,CANALE1,357164042518400,59.37409872817993,18.00112279510498,0.0,20210304,41144,-11640,1220
40,60040,CANALE1,357164042518400,59.37376610565185,18.001996803283692,0.0,20210304,41153,11424,1184
41,60040,CANALE1,357164042518400,59.37375679016113,18.002017974853516,0.0,20210304,41153,-11792,0
42,60040,CANALE1,357164042518400,59.37374768447876,18.002038223266602,0.0,20210304,41154,11328,-260
43,60040,CANALE1,357164042518400,59.37373803329468,18.002059280395507,0.0,20210304,41154,-11696,320
44,60040,CANALE1,357164042518400,59.37372825622558,18.002080612182617,0.0,20210304,41154,12608,2240
45,60040,CANALE1,357164042518400,59.37371910858154,18.00210057067871,0.0,20210304,41154,-13304,-96
46,60040,CANALE1,357164042518400,59.37370979309082,18.00212085723877,0.0,20210304,41155,12320,32
47,60040,CANALE1,357164042518400,59.37369976425171,18.002142282485963,0.0,20210304,41155,-12752,-1312
48,60040,CANALE1,357164042518400,59.37369074249268,18.002161556243898,0.0,20210304,41155,12256,160
49,60040,CANALE1,357164042518400,59.373681385040285,18.002181547164916,0.0,20210304,41155,-12784,1248
50,60040,CANALE1,357164042518400,59.37366264343262,18.00222257232666,0.0,20210304,41156,-11777,-664
51,60040,CANALE1,357164042518400,59.37365428924561,18.002241786956787,0.0,20210304,41156,12256,-352
52,60040,CANALE1,357164042518400,59.37364513397217,18.002262844085692,0.0,20210304,41156,-11616,-80
53,60040,CANALE1,357164042518400,59.373592681884766,18.002372131347656,0.0,20210304,41158,-12256,-640
54,60040,CANALE1,357164042518400,59.37358409881592,18.002388883590697,0.0,20210304,41158,11072,584
55,60040,CANALE1,357164042518400,59.37357521057129,18.002406215667726,0.0,20210304,41158,-13120,-640
56,60040,CANALE1,357164042518400,59.3735665512085,18.002423101425173,0.0,20210304,41158,13504,1088
57,60040,CANALE1,357164042518400,59.37355770111084,18.0024403591156,0.0,20210304,41158,-12608,144
58,60040,CANALE1,357164042518400,59.37354809570313,18.002456073760985,0.0,20210304,41159,12031,-144
59,60040,CANALE1,357164042518400,59.3735372467041,18.002471895217894,0.0,20210304,41159,-11521,752
60,60040,CANALE1,357164042518400,59.37352667236328,18.002487316131592,0.0,20210304,41159,12760,255
61,60040,CANALE1,357164042518400,59.37351568603516,18.00250333786011,0.0,20210304,41159,-13144,-480
62,60040,CANALE1,357164042518400,59.37350468444824,18.002518379211427,0.0,20210304,41200,13680,1928
63,60040,CANALE1,357164042518400,59.37349392318725,18.00253120994568,0.0,20210304,41200,-13232,1983
64,60040,CANALE1,357164042518400,59.37348182296753,18.002545637130737,0.0,20210304,41200,12480,688
65,60040,CANALE1,357164042518400,59.37347016906738,18.002559532165527,0.0,20210304,41200,-12100,424
66,60040,CANALE1,357164042518400,59.37345844268799,18.002573757171632,0.0,20210304,41201,12032,1104
67,60040,CANALE1,357164042518400,59.3734195022583,18.00264278793335,0.0,20210304,41201,11136,-960
68,60040,CANALE1,357164042518400,59.37314144134521,18.00307155609131,0.0,20210304,41208,11456,5024
69,60040,CANALE1,357164042518400,59.373088848114016,18.00311177444458,0.0,20210304,41208,12543,128
70,60040,CANALE1,357164042518400,59.3730454711914,18.00312678527832,0.0,20210304,41209,-11824,96
71,60040,CANALE1,357164042518400,59.37303132629395,18.003131107330322,0.0,20210304,41209,12960,255
72,60040,CANALE1,357164042518400,59.37301630401611,18.003135723114013,0.0,20210304,41210,-12565,-769
73,60040,CANALE1,357164042518400,59.37300519561767,18.003144451141356,0.0,20210304,41210,12736,1568
74,60040,CANALE1,357164042518400,59.37299499511719,18.003152465820314,0.0,20210304,41210,-12033,2980
75,60040,CANALE1,357164042518400,59.3729609375,18.00318032836914,0.0,20210304,41211,11264,768
76,60040,CANALE1,357164042518400,59.37295265197754,18.00319137573242,0.0,20210304,41211,-12112,4672
